http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/title,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/source,http://purl.org/dc/terms/abstract,http://purl.org/dc/terms/date,http://purl.obolibrary.org/obo/IAO_0000136,http://purl.obolibrary.org/obo/IAO_00001362,
93, Comparison of two test designs for evaluating the shear bond strength of resin composite cements,"M. Hu, R. Weiger and J. Fischer", Dent Mater," OBJECTIVE: To compare a shear bond strength test for resin composite cements developed in order to better consider the shrinkage stress (here termed ""Swiss shear test"") with the shear test design according to ISO 29022. METHOD: Four restorative materials (VITA Enamic (VE), VITA Suprinity (VS), Vitablocs Mark II (VM) and VITA YZ T (YZ)) served as substrate. VE, VS and VM were polished or etched. YZ was polished, sandblasted or etched. Specimens were either bonded according to the Swiss or the ISO shear test. RelyX Unicem 2 Automix, Maxcem Elite and PermaFlo DC were used as cements. Shear bond strength (SBS) was measured. Failure modes (adhesive, cohesive or mixed) were evaluated by means of SEM. RESULTS: Mean SBS values obtained with the Swiss shear test were significantly lower than those obtained with the ISO shear test. VE and VM exhibited similar SBS, values of VS were significantly higher. On etched surfaces VM and VE exhibited primarily cohesive failures, VS primarily adhesive failures. On polished substrates significantly lower bond strength values and exclusively adhesive failures were observed. YZ exhibited solely adhesive failures. Compared to polished YZ, SBS significantly increased after sandblasting and even more after etching. Only for adhesively failed specimens mean SBS values of Swiss and ISO shear test were strongly correlated. SIGNIFICANCE: Both test designs showed the same ranking of test results. When adhesive failure occurred test results were strongly correlated. When cohesive failure was involved, both test designs did not provide reliable results.",2016,0,0,
403, Optimization of large MOD restorations: Composite resin inlays vs. short fiber-reinforced direct restorations,"L. M. Soares, M. Razaghy and P. Magne", Dent Mater," OBJECTIVE: To compare mechanical performance and enamel-crack propensity of direct, semi-direct, and CAD/CAM approaches for large MOD composite-resin restorations. METHODS: 45 extracted maxillary molars underwent standardized slot-type preparation (5-mm depth and bucco-palatal width) including immediate dentin sealing (Optibond FL) for the inlays (30 teeth). Short-fiber reinforced composite-resin (EverX Posterior covered by Gradia Direct Posterior) was used for the direct approach, Gradia Direct Posterior for the semi-direct, and Cerasmart composite resin blocks for CAD/CAM inlays. All inlays were adhesively luted with light-curing composite-resin (preheated Gradia Direct Posterior). Shrinkage-induced enamel cracks were tracked by transillumination photography. Cyclic axial isometric chewing (5-Hz) was simulated, starting with a load of 200N (5000 cycles), followed by stages of 400, 600, 800, 1000, 1200, and 1400N (maximum 30,000 cycles each) until fracture or to a maximum of 185,000 cycles. Survived specimens were subjected to cyclic-load-to-failure test at 30-degree angle on the palatal cusp. RESULTS: Only small shrinkage-induced cracks were found in 47% of the direct restorations compared to 7% and 13% of semi-direct and CAD/CAM inlays, respectively. Survival to accelerated fatigue was similar for all three groups (Kaplan-Meier p>.05) and ranged between 87% (direct) and 93% (semi-direct and CAD/CAM). Cyclic-load-to-failure tests did not yield significant differences either (Life Table analysis, p>.05) with median values of 1675N for CAD/CAM inlays, 1775N for fiber-reinforced direct restorations and 1900N for semi-direct inlays. SIGNIFICANCE: All three restorative techniques yielded excellent mechanical performance above physiological masticatory loads. Direct restorations performed as good as inlays when a short-fiber reinforced composite-resin base was used.",2018,0,1,
1, [Analysis of edge morphology of partial veneers made by different processing techniques and materials],"R. J. Wang, M. Liu, D. Y. Song, S. Yang, Q. Wang, L. Wang and H. L. Feng", Beijing Da Xue Xue Bao Yi Xue Ban," OBJECTIVE: To compare the edge morphology of partial veneers made of different materials by slurry molding, heat-pressed and computer aided design/computer aided manufacturing (CAD/CAM) techniques. METHODS: Thirty premolars with smooth surface and intact enamel were selected and randomly divided into five groups, 6 specimens for each group. Group A were made from feldspathic porcelain (Noritake®) by slurry molding, while Group B were made from lithium disilicate glass ceramic (IPS E.max® Press) by heat-pressed. Group C/D/E were respectively made from feldspar porcelain block (VITA Mark II®), zirconia-reinforced glass ceramic (VITA Suprinity®) and hybrid ceramic with a ceramic-polymer network (VITA Enamic®) by CAD/CAM techniques. All the partial veneers luted with light-cured composite resin. Then the partial veneers were trimmed and polished to achieve the smooth finishing margin, clinical polishing sets were used according to the product descriptions. Scanning electron microscope (SEM) was used to observe the edge morphology of prostheses and the exposure of resin cements. RESULTS: The smooth surface and knife-like edge of the partial veneers could be obtained after bonding, trimming and polishing. The edges of Group A were slightly rough and the width of the exposed adhesive was (106.00±9.17) μm. In Group B, the edges were smoother than Group A, and the exposed wide adhesive strip was visible, which was (138.33±20.59) μm. In Group E, the edges were smooth too, and the width of exposed adhesive strip was (186.00±5.66) μm. The edges of Group C and Group D were rough and uneven, and the adhesive was rarely exposed, they were (50.67±7.51) μm and (65.67±17.90) μm. There were all significant differences between two groups, except Group C and Group D. CONCLUSION: After trimming and polishing in accordance with clinical procedures, the expected knife-like edge can be obtained in all groups. The width of the exposed resin adhesive of each group is different, the order: Mark II/Suprinity < Noritake < E.max Press < Enamic. The edge morphology of partial veneers in different processing technic and materials are different.",2019,1,0,
225, Fatigue resistance of CAD/CAM resin composite molar crowns,"F. A. Shembish, H. Tong, M. Kaizer, M. N. Janal, V. P. Thompson, N. J. Opdam and Y. Zhang", Dent Mater," OBJECTIVE: To demonstrate the fatigue behavior of CAD/CAM resin composite molar crowns using a mouth-motion step-stress fatigue test. Monolithic leucite-reinforced glass-ceramic crowns were used as a reference. METHODS: Fully anatomically shaped monolithic resin composite molar crowns (Lava Ultimate, n=24) and leucite reinforced glass-ceramic crowns (IPS Empress CAD, n=24) were fabricated using CAD/CAM systems. Crowns were cemented on aged dentin-like resin composite tooth replicas (Filtek Z100) with resin-based cements (RelyX Ultimate for Lava Ultimate or Multilink Automix for IPS Empress). Three step-stress profiles (aggressive, moderate and mild) were employed for the accelerated sliding-contact mouth-motion fatigue test. Twenty one crowns from each group were randomly distributed among these three profiles (1:2:4). Failure was designated as chip-off or bulk fracture. Optical and electron microscopes were used to examine the occlusal surface and subsurface damages, as well as the material microstructures. RESULTS: The resin composite crowns showed only minor occlusal damage during mouth-motion step-stress fatigue loading up to 1700N. Cross-sectional views revealed contact-induced cone cracks in all specimens, and flexural radial cracks in 2 crowns. Both cone and radial cracks were relatively small compared to the crown thickness. Extending these cracks to the threshold for catastrophic failure would require much higher indentation loads or more loading cycles. In contrast, all of the glass-ceramic crowns fractured, starting at loads of approximately 450N. SIGNIFICANCE: Monolithic CAD/CAM resin composite crowns endure, with only superficial damage, fatigue loads 3-4 times higher than those causing catastrophic failure in glass-ceramic CAD crowns.",2016,0,1,
142, Effect of home and over the contour bleaching on stainability of CAD/CAM esthetic restorative materials,"N. Tinastepe, O. Malkondu, I. Iscan and E. Kazazoglu", J Esthet Restor Dent," OBJECTIVE: To determine the effect of home and over the counter bleaching on the stainability of CAD/CAM restorative materials, and to correlate the surface roughness with discoloration. MATERIAL AND METHODS: Specimens were fabricated from feldspathic ceramic, an hybrid ceramic, a resin nano-ceramic, and lithium disilicate-reinforced glass ceramic. After baseline surface roughness (Ra1) and color measurement, each material was randomly divided into three groups according to bleaching regimen as Opalescence PF and; Opalescence Go; control. Then, the second color and surface roughness (Ra2) measurements were made. Thereafter, all specimens were immersed in a coffee solution for 12 days and the third color measurement was made. Color and whiteness change (CIELAB- ΔE(ab) , CIEDE2000-ΔE(00) , whiteness index-ΔWI(D) ) were calculated after bleaching (ΔE1;ΔE(00) 1;ΔWI(D) 1) and immersion in the coffee solution (ΔE2;ΔE(00) 2;ΔWI(D) 2). RESULTS: According to both CIELAB, CIEDE 2000 and WI(D) formulas, the highest mean ΔE1, ΔE2, ΔWI(D) 1, ΔWI(D) 2 values were observed for LAVA Ultimate groups while the lowest values were measured for e.max CAD groups. The findings also showed that there was a positively significant relationship between Ra2, and ΔE2 and ΔWI(D) 2. CONCLUSIONS: Type of restorative materials and bleaching agents had an impact on color change after bleaching and immersion in coffee. CLINICAL SIGNIFICANCE: Home and over-the-counter bleaching agents may cause an increase in susceptibility of restorative materials to staining.",2021,1,0,
270, Impact of different adhesives on work of adhesion between CAD/CAM polymers and resin composite cements,"C. Keul, M. Müller-Hahl, M. Eichberger, A. Liebermann, M. Roos, D. Edelhoff and B. Stawarczyk", J Dent," OBJECTIVE: To determine the impact of pre-treatment of adhesive systems on the work of adhesion (WA) between CAD/CAM polymers and resin composite cements and compare with conventional tests of previous studies. METHODS: Surface parameters were measured by contact angle measurement (2700 measurements) and WA was calculated. Five CAD/CAM polymers were used for fabrication of specimens (n=75/subgroup): artBloc Temp (A), Telio CAD (B), Nano Composite CFI-C (C), exp. CAD/CAM nanohybrid composite (D), and LAVA Ultimate (E). Then, air-abraded specimens were pre-treated (n=15 per group): Ambarino P60 (I), Monobond Plus/Heliobond (II), visio.link (III), VP connect (IV), and no pre-treatment (V). Resin composite cement specimens (n=75) were smoothed out homogeneously on a glass plate (n=15/group): RelyX ARC (RXA), Variolink II (VAR), Panavia F2.0 (PAN), RelyX Unicem (RXU), and Clearfil SA Cement (CSA). Contact angles were determined with 3 drops of distilled water and diiodomethane each. Data were analyzed using Kruskal-Wallis-H test and Spearman-Rho correlation (p<0.05). RESULTS: CAD/CAM materials (B), (A), and (C) showed higher WA compared to (D) and (E). (II) and (IV) resulted in higher WA than (I), (III) and (V). VAR had the significantly lowest WA, followed by RXU, RXA, CSA and PAN. No correlation occurred between WA and TBS/SBS whereas polar component of surface free energy of CAD/CAM resin and spreading coefficient showed significant positive correlation with TBS/SBS. CONCLUSIONS: Determination of WA is not a proper method to draw conclusions about the bond between resin materials. Destructive test methods are not dispensable. CLINICAL SIGNIFICANCE: The successful outcome of fixed dental restorations depends, among others, on the quality of bonding between the tooth and the restoration. Additional pre-treatment of the dental CAD/CAM resin restoration by bonding systems can be recommended for clinical use. Pre-treatment showed a significant impact on the surface properties.",2014,0,1,
330, Investigating the limits of resin-based luting composite photopolymerization through various thicknesses of indirect restorative materials,"C. M. F. Hardy, S. Bebelman, G. Leloup, M. A. Hadis, W. M. Palin and J. G. Leprince", Dent Mater," OBJECTIVE: To determine the limitations of using light-curable resin-based luting composites (RBLCs) to bond indirect ceramic/resin-composite restorations by measuring light transmittance through indirect restorative materials and the resulting degree of conversion (DC) of the luting-composites placed underneath. METHODS: Various thicknesses (0-4mm) and shades of LAVA Zirconia and LAVA Ultimate were prepared and used as light curing filters. A commercial, light curable RBLC, RelyX Veneer (control) was compared with four experimental RBLCs of the following composition: TEGDMA/BisGMA (50/50 or 30/70wt%, respectively); camphorquinone/amine (0.2/0.8wt%) or Lucirin-TPO (0.42wt%); microfillers (55wt%) and nanofillers (10wt%). RBLCs covered with the LAVA filter were light-cured for 40s, either with the dual-peak BluephaseG2 or an experimental device emitting either in the blue or violet visible band. The samples were analyzed by Raman spectroscopy to determine DC. Light transmittance through the filters was measured using a common spectroscopy technique. RESULTS: All the factors studied significantly influenced DC (p<0.05). RBLCs with increased TEGDMA content exhibited higher DC. Only small differences were observed comparing DC without filters and filters ≤1mm (p>0.05). For thicknesses ≥2mm, significant reductions in DC were observed (p<0.05). Transmittance values revealed higher filter absorption at 400nm than 470nm. A minimal threshold of irradiance measured through the filters that maintained optimal DC following 40s irradiation was identified for each RBLC formulation, and ranged between 250-500mW/cm(2). SIGNIFICANCE: This work confirmed that optimal photopolymerization of RBLCs through indirect restorative materials (≤4mm) and irradiation time of 40s is possible, but only in some specific conditions. The determination of such conditions is likely to be key to clinical success, and all the factors need to be optimized accordingly.",2018,1,1,
19, A novel CAD/CAM resin composite block with high mechanical properties,"L. Ling, Y. Ma and R. Malyala", Dent Mater," OBJECTIVE: To determine the mechanical properties of a newly-developed CAD/CAM resin composite block and compare with other resin composite blocks and a polymer-infiltrated ceramic block. METHODS: Experimental composite block was formulated by our proprietary resin and filler technologies and cured via Hot Isostatic Pressing (HIP). Bar-shaped specimens (1 × 4×12 - 13 mm, n = 10) for flexural strength, flexural modulus and modulus of resilience were sectioned from block materials and measured in accordance to modified ISO-6872. Cylinder specimens for compressive strength (2 × 4 mm, n = 8) and for diametral tensile strength (6 × 3 mm, n = 8) were milled from the block materials and tested according to ASTM-D695 and ANSI/ADA-Specification #27, respectively. Block specimens (5 mm, n = 3) for Vickers hardness were polished and measured for five indentations on each specimen. The data was analyzed by one-way ANOVA and post-hoc Tukey tests (p ≤ 0.05). RESULTS: Experimental composite block showed higher or significantly higher flexural strength, flexural modulus, modulus of resilience, compressive strength, diametral tensile strength and Vickers hardness than the other commercially available block materials except Vita Enamic for flexural modulus and hardness and Cerasmart for modulus of resilience. Some positive correlations were observed among the different mechanical properties. SIGNIFICANCE: New composite block exhibited higher mechanical properties as compared to commercially available composite block materials. Superior mechanical properties for resin composite block materials were obtained by composite and curing processing technologies. Resin composite blocks with higher mechanical properties are good options for the fabrication of CAD/CAM indirect restorations.",2021,1,1,
448," Shade Correspondence, Color, and Translucency Differences between Human Dentine and a CAD/CAM Hybrid Ceramic System","I. S. Pop-Ciutrila, D. Dudea, M. Eugenia Badea, M. Moldovan, S. I. Cîmpean and R. Ghinea", J Esthet Restor Dent," OBJECTIVE: To determine the shade correspondence between human dentine and two versions of a CAD/CAM hybrid ceramic system and to investigate color and translucency differences between these materials. MATERIALS AND METHODS: Twenty-four samples of different shades and opacities were fabricated from Vita Enamic CAD/CAM ceramic blocks. Human dentine samples were obtained from 73 extracted maxillary teeth. Color coordinates of all samples were measured using VitaEasyshade spectrophotometer. The translucency parameter (TP) and ΔEab* and ΔE00 color differences, with respect to human dentine of anterior and posterior teeth, were calculated. RESULTS: Vita Enamic Translucent was the best match for anterior teeth (>90% of cases) while Vita Enamic T 3M2 was the best option for the dentine samples of posterior teeth in 78.8% ( ΔEab*) and 54.5% ( ΔE00) of the cases. The smallest differences in translucency ( ΔTP) with the dentine samples of anterior teeth were obtained for Vita Enamic T 3M2 (92.5%) and with those of posterior teeth for Vita Enamic HT 1M2 (45.4%). CONCLUSIONS: VITA Enamic Translucent is the best option as color match for both anterior and posterior teeth dentine. In terms of translucency, VITA Enamic Translucent closely matched anterior teeth dentine while for posterior teeth, VITA Enamic HT was the best option. CLINICAL SIGNIFICANCE: The results of the present study could help clinicians in their decision of choosing a specific shade and translucency for their anterior or posterior esthetic restorations with hybrid ceramics. (J Esthet Restor Dent 28:S46-S55, 2016).",2016,1,0,
397, Optical and colorimetric evaluation of a multi-color polymer-infiltrated ceramic-network material,"R. Pulgar, C. Lucena, C. Espinar, O. E. Pecho, J. Ruiz-López, A. Della Bona and M. M. Pérez", Dent Mater," OBJECTIVE: To evaluate color, translucency parameter and optical properties (scattering (S), absorption (K) and transmittance (T)) of a multi-color polymer-infiltrated ceramic-network (PICN) material. METHODS: Samples of shades 1M1-HT, 1M2-HT, 2M2-HT, 3M2-HT, and 4M2-HT from VITA ENAMIC(®) multiColor (E-MC) High Translucent were fabricated (n = 3). CAD-CAM blocks were cut and polished to 1.00 ± 0.01 mm of thickness. Diffuse reflectance and color coordinates were measured against white and black backgrounds, using a calibrated spectroradiometer, CIE D65 illuminant and the CIE 45°/0° geometry. Color and translucency differences were evaluated using 50:50% perceptibility (PT and TPT) and 50:50% acceptability (AT and TAT) thresholds. S and K coefficients and T were calculated using Kubelka-Munk's equations. Data was statistically analyzed using Kruskal-Wallis, Mann-Whitney tests, and VAF coefficient. RESULT: Mean C* and b* values increased from incisal to cervical layers with statistically significant differences (p < 0.05). In general, ΔE(00) between sequential layers were above PT for all shades. In addition, translucency parameter (TP) increased from cervical to incisal and ΔTP(00) values were greater than TPT(00) and lower than TAT(00) between all sequential layers. Layers from all shades showed similar spectral behavior for S (97.4% ≤ VAF), K (85.0% ≤ VAF) coefficients and T (95.3% ≤ VAF). However, these values presented significant differences (p < 0.05) from cervical to incisal layers. SIGNIFICANCE: The gradient in color and translucency of this novel CAD-CAM multi-color PICN material can assist dental technicians and dentists to reach greater esthetics than the pre-existing CAD-CAM monolithicmaterials.",2019,1,0,
305, Influence of material selection on the risk of inlay fracture during pre-cementation functional occlusal tapping,"P. Magne, M. P. Paranhos and L. H. Schlichting", Dent Mater," OBJECTIVE: To evaluate in vitro the pre-cementation resistance of CAD/CAM inlays subjected to functional occlusal tapping. METHODS: An extracted tooth model (molar and premolar) with simulated bone and periodontal ligament was used to make a medium-size mesio-occlusal inlay preparation (molar). Immediate dentin sealing was applied to the prepared tooth. The corresponding inlays were fabricated with Cerec either using composite resin (Paradigm MZ100) or ceramic (e.max CAD and Mark II) blocks (n=14). A high marginal ridge was designed in order to generate hyper-occlusion. Pre-cementation occlusal tapping was simulated using closed-loop servo-hydraulics at 2 Hz, starting with a load of 40 N, followed by 80, 120, 160, 200, 240, and 280 N (10 cycles each). All samples were loaded until fracture or to a maximum of 70 cycles. Groups were compared using the life table survival analysis (p=0.016, Bonferroni method). RESULTS: Survival probability was e.max CAD>MZ100>Mark II. None of the specimens survived the 70 cycles except for two e.max CAD inlays (survival: 14%). SIGNIFICANCE: Material selection has a significant effect on the risk of Cerec inlay fracture during pre-cementation functional occlusal tapping.",2011,0,1,
443, Risk of onlay fracture during pre-cementation functional occlusal tapping,"P. Magne, L. H. Schlichting and M. P. Paranhos", Dent Mater," OBJECTIVE: To evaluate in vitro the pre-cementation resistance of CAD/CAM onlays subjected to functional occlusal tapping. METHODS: An extracted tooth model (molar and premolar) with simulated bone and periodontal ligament was used to make a mesio-occlusal onlay preparation (two mesial cusps covered). Immediate dentin sealing was applied to the prepared tooth. The corresponding onlays were fabricated with Cerec either using composite resin (Paradigm MZ100) or ceramic (e.max CAD and Mark II) (n=14). An elevated marginal ridge was designed with the intention of generating hyper-occlusion. Pre-cementation occlusal tapping was simulated using closed-loop servo-hydraulics at 2 Hz, starting with a load of 40 N, followed by 80, 120, 160, 200, 240 and 280 N (10 cycles each). All samples were loaded until fracture or to a maximum of 70 cycles. Groups were compared using the life table survival analysis (p=.016, Bonferroni method). RESULTS: Survival probability was MZ100>e.max CAD>Mark II. The restorations made from e.max CAD and Mark II failed at an average load of 157 N and 123 N, respectively with no specimen withstanding all 70 load cycles (survival 0%); with MZ100 the survival rate was 36%. SIGNIFICANCE: Material selection has a significant effect on the risk of CAD/CAM onlay fracture during pre-cementation functional occlusal tapping with composite resin onlays showing the minimum risk compared to ceramic ones.",2011,0,1,
28, Adhesive luting of new CAD/CAM materials,"R. Frankenberger, V. E. Hartmann, M. Krech, N. Krämer, S. Reich, A. Braun and M. Roggendorf", Int J Comput Dent," OBJECTIVE: To evaluate the adhesive bonding performance of recently introduced tooth-colored CAD/CAM materials after different pretreatment protocols and using different luting materials. MATERIALS AND METHODS: The CAD/CAM materials under investigation were e.max CAD (lithium disilicate glass ceramic; Ivoclar Vivadent, Schaan, Liechtenstein), Celtra Duo (zirconia-reinforced lithium disilicate ceramic; Dentsply DeTrey, Konstanz, Germany), Lava Ultimate (resin nano ceramic; 3M ESPE, Neuss, Germany), and Enamic (resin infiltrated ceramic; Vita, Bad Säckingen, Germany). A total of 240 blocks (n = 5) received various pretreatments (no pretreatment, silane, sandblasting, sandblasting + silane, hydrofluoric acid, hydrofluoric acid + silane), and then different classes of adhesive luting composites were applied (adhesive: Prime&Bond XP + SCA + Calibra; Dentsply DeTrey; self adhesive: RelyX Unicem; 3M ESPE). After 24 h water storage and 10,000 thermocycles (5°C/55°C), specimens were cut into beams and microtensile bond strengths were recorded. RESULTS: Bonding performance of recent CAD/CAM materials was clearly influenced by the pretreatment method (P < 0.05). In general, significantly higher μ-TBS values were recorded for the ceramic materials compared to the hybrid materials (P < 0.05). Among the hybrid materials, Enamic exhibited higher bond strengths than Lava Ultimate (P < 0.05). However, despite the differences found, all materials showed a high level of bonding performance, being sufficient to withstand intraoral chewing forces during mastication. CONCLUSION: When pretreated as recommended by the manufacturers, recent tooth-colored CAD/CAM materials show an encouraging bonding performance for adhesive luting.",2015,1,0,
392, Morphological analysis of three zirconium oxide ceramics: Effect of surface treatments,"A. Casucci, C. Mazzitelli, F. Monticelli, M. Toledano, R. Osorio, E. Osorio, F. Papacchini and M. Ferrari", Dent Mater," OBJECTIVE: To evaluate the effect of different chemo-mechanical surface treatments on the morphology of three recently marketed dental zirconia ceramics. MATERIALS AND METHODS: Ceramic discs (Ø 10 mm x 1 mm height) were obtained from three sintered zirconia ceramics (Lava, Cercon, and Aadva Zr) and treated with: (1) airborne particle abrasion with 125 microm Al(2)O(3) particles (S); (2) selective infiltration etching (SIE); (3) experimental hot etching solution applied for 30 min (ST); (4) no treatment (C). Five discs per group were used for surface roughness analysis using an atomic force microscope (AFM). Data were statistically analyzed by Kruskall-Wallis analysis of variance and Mann-Whitney tests (alpha<0.05). The same discs were evaluated under SEM for surface topography analysis. Three discs per group were cemented to a composite overlay (Paradigm MZ100) with a total-etch resin luting agent (Calibra) and cross-section interfacial analysis was performed under SEM. RESULTS AND SIGNIFICANCE: Airborne particle abrasion improved the average surface roughness of Cercon and Lava (p<0.05) while SIE induced significant changes on Lava and Adava Zr. Statistical differences in surface roughness were recorded after selective infiltration etching when compared to no treated group, independently from the zirconia type. SEM and AFM analyses revealed changes in surface topography for all the tested ceramics and intergrain spaces opening, especially after ST. The effectiveness of the tested chemo-mechanical surface treatments depends on the zirconia type. The hot experimental etching solution increased the surface roughness of all the tested ceramics creating retentive micro-spaces that may potentially improve zirconia/resin cement interfacial strengths.",2010,0,1,
289, In-office bleaching efficacy on stain removal from CAD/CAM and direct resin composite materials,"A. Alharbi, S. Ardu, T. Bortolotto and I. Krejci", J Esthet Restor Dent," OBJECTIVE: To evaluate the efficacy of in-office bleaching on stain removal from stained resin composite and ceramic computer-assisted design/computer-assisted manufacturing (CAD/CAM) blocks and direct resin composites. METHODS: Forty disk-shaped samples were fabricated from each of nine materials: six CAD/CAM (VITABLOCS Mark II, Paradigm MZ100, Exp Vita Hybrid Ceramic, VITA ENAMIC, Exp Kerr, and LAVA Ultimate) and three direct resin composites (Filtek Supreme, Venus Diamond, and Filtek Silorane). Samples were randomly divided into five groups (n = 8), each stained with a particular staining solution. Using a calibrated spectrophotometer and a black background, L*a*b* values were assessed before and after 120 days of staining. Samples were subjected to in-office bleaching using 40% hydrogen peroxide gel for one hour. At subsequent assessment, color change (ΔE) was calculated as the difference between L*a*b* values. Both ANOVA and the Duncan test were used to identify differences between groups (α = 0.05). RESULTS: Bleaching resulted in significant differences in ΔE values for all materials (P < .001). Bleaching efficacy was highly influenced by material composition and staining solution. Residual color values after bleaching for ceramic and hybrid ceramics ranged from -0.49 to 2.35, within the clinically acceptable maximum of 3.3. Values after bleaching for resin-based CAD/CAM ranged from -0.7 to 7.08 while direct resin composites values ranged from -1.47 to 25.13. Coffee left the greatest residual color on all materials. CONCLUSIONS: Based on material nature, 40% hydrogen peroxide bleaching can remove staining. The new resin-based CAD/CAM blocks showed promising results in terms of color stability. CLINICAL SIGNIFICANCE: Bleaching using 40% hydrogen peroxide can be an effective method to remove stains from dental restorations. In this way, restoration replacement as a result of discoloration may no longer be necessary.",2018,1,1,
218," Fatigue performance of adhesively cemented glass-, hybrid- and resin-ceramic materials for CAD/CAM monolithic restorations","A. B. Venturini, C. Prochnow, G. K. R. Pereira, R. D. Segala, C. J. Kleverlaan and L. F. Valandro", Dent Mater," OBJECTIVE: To evaluate the fatigue failure load, number of cycles until failure, and survival probability of adhesively cemented materials with different microstructures (glass-, hybrid- and resin-ceramic) used to manufacture CAD/CAM monolithic restorations. METHODS: Disc-shaped specimens (n=15; Ø=10mm; thickness=1.0mm) were produced from CAD/CAM blocks as follows: feldspathic (FEL); leucite (LEU); lithium disilicate (LD); zirconia-reinforced lithium silicate (ZRLS); polymer-infiltrated ceramic network (PICN); and resin nanoceramic (RNC). Adhesive cementation was performed onto epoxy discs (dentin analogue- Ø=10mm; thickness=2.5mm). The cemented assemblies were subjected to fatigue testing using a step-stress approach (400N-2200N; step-size of 200N; 10,000 cycles per step; 1.4Hz). Fatigue data were analyzed using Kaplan-Meier and Mantel-Cox (log-rank) tests (p<0.05) and Weibull statistical analysis. Fractographic analysis was also performed. RESULTS: All RNC specimens survived the fatigue test (100% probability of survival at 2200N; 100,000 cycles) and presented occlusal deformation in response to loading, while all other tested materials failed in distinct loading steps with radial cracks starting from the bonding surface. LD (1146.7N; 47,333) and ZRLS (1013.3N; 40,666) materials obtained the highest fatigue failure loads and cycles until failure, meanwhile all PICN specimens failed during the first step (0% probability of survival at 400N; 10,000). FEL had similar Weibull modulus to LD and ZRLS and higher than LEU for both load and number of cycles outcomes. SIGNIFICANCE: The microstructure of adhesively cemented glass-, hybrid- and resin-ceramic CAD/CAM restorative materials influence their response during fatigue testing, which aids in suggesting the best clinical indications.",2019,1,0,
479, Survival of implant-supported resin-matrix ceramic crowns: In silico and fatigue analyses,"E. T. P. Bergamo, S. Yamaguchi, P. G. Coelho, A. C. O. Lopes, C. Lee, G. Bonfante, E. B. Benalcázar Jalkh, E. N. S. de Araujo-Júnior and E. A. Bonfante", Dent Mater," OBJECTIVE: To evaluate the fatigue survival, failure mode, and maximum principal stress (MP Stress) and strain (MP Strain) of resin-matrix ceramic systems used for implant-supported crowns. METHODS: Identical molar crowns were milled using four resin-matrix ceramics (n = 21/material): (i) Shofu Hard, (ii) Cerasmart (iii) Enamic, and (iv) Shofu HC. Crowns were cemented on the abutments, and the assembly underwent step-stress accelerated-life testing. Use level probability Weibull curves at 300 N were plotted and the reliability at 300, 500 and 800 N was calculated for a mission of 50,000 cycles. Fractographic analysis was performed using stereomicroscope and scanning electron microscope. MP Stress and MP Strain were determined by finite element analysis. RESULTS: While fatigue dictated failures for Cerasmart (β > 1), material strength controlled Shofu Hard, Enamic, and Shofu HC failures (β < 1). Shofu HC presented lower reliability at 300 N (79%) and 500 N (59%) than other systems (>90%), statistically different at 500 N. Enamic (57%) exhibited a significant reduction in the probability of survival at 800 N, significantly lower than Shofu Hard and Cerasmart; however, higher than Shofu HC (12%). Shofu Hard and Cerasmart (>93%) demonstrated no significant difference for any calculated mission (300-800 N). Failure mode predominantly involved resin-matrix ceramic fracture originated from occlusal cracks, corroborating with the MP Stress and Strain location, propagating through the proximal and cervical margins. SIGNIFICANCE: All resin-matrix ceramics crowns demonstrated high probability of survival in a physiological molar load, whereas Shofu Hard and Cerasmart outperformed Enamic and Shofu HC at higher loads. Material fracture comprised the main failure mode.",2021,1,0,
259, Gloss and Stain Resistance of Ceramic-Polymer CAD/CAM Restorative Blocks,N. C. Lawson and J. O. Burgess, J Esthet Restor Dent," OBJECTIVE: To evaluate the gloss and stain resistance of several new ceramic-polymer CAD/CAM blocks MATERIALS AND METHODS: Specimens (4 mm) were sectioned from: Enamic (polymer-infused ceramic), LAVA Ultimate (nano-ceramic reinforced polymer), e.max (lithium disilicate), Paradigm C (porcelain), and Paradigm MZ100 (composite). Specimens were wet polished on a polishing wheel to either 320 grit silicon paper (un-polished, N = 8) or 2000 grit silicon carbide papers followed by a 0.05 μm alumina slurry (polished, N = 8). Initial gloss and color (L*a*b*) values were measured. Specimens were stored in a staining solution at 37°C in darkness for 12 days (simulating 1 year). After storage, L*a*b* values re-measured. Change in color was reported as ΔE00 based on the CIEDE2000 formula. Gloss and ΔE00 were analyzed by two-way analysis of variance (ANOVA) (alpha = .05). Separate one-way ANOVA and Tukey post-hoc analyses were performed for both polish conditions and all materials. RESULTS: Two-way ANOVA showed that factors material, polish and their interaction were significant for both gloss and ΔE00 (p < .01). Post-hoc analysis reveals that polished specimens had significantly less color change than un-polished specimens for Paradigm C and LAVA Ultimate. E.max had significantly higher gloss and less color change than all other materials. CONCLUSION: The composition and polish of CAD/CAM materials affects gloss and stain resistance. CLINICAL SIGNIFICANCE: Ceramic-polymer hybrid materials can achieve the high gloss required for esthetic restorations. These materials should be polished in order to minimize staining. If polished, all of the tested materials exhibited clinically acceptable color changes at 1 year of simulated staining. (J Esthet Restor Dent 28:S40-S45, 2016).",2016,1,1,
